item,token,tag,patent,partition,trainingTest
69,incidents,O,0,1,training
70,",",O,0,1,training
71,improvement,O,0,1,training
72,of,O,0,1,training
73,conversion,O,0,1,training
74,rates,O,0,1,training
75,and,O,0,1,training
76,employee,O,0,1,training
77,compliance,O,0,1,training
78,rates,O,0,1,training
79,.,O,0,1,training
80,An,O,1,1,training
81,X,B-HARDWARE,1,1,training
82,-,I-HARDWARE,1,1,training
83,ray,I-HARDWARE,1,1,training
84,sensing,I-HARDWARE,1,1,training
85,apparatus,I-HARDWARE,1,1,training
86,includes,O,1,1,training
87,a,O,1,1,training
88,detector,B-HARDWARE,1,1,training
89,array,I-HARDWARE,1,1,training
90,configured,O,1,1,training
91,to,O,1,1,training
92,generate,B-FUNCIONALIDADE,1,1,training
93,a,I-FUNCIONALIDADE,1,1,training
94,plurality,I-FUNCIONALIDADE,1,1,training
95,of,I-FUNCIONALIDADE,1,1,training
96,signals,I-FUNCIONALIDADE,1,1,training
97,in,O,1,1,training
98,response,O,1,1,training
99,to,O,1,1,training
100,x,O,1,1,training
101,-,O,1,1,training
102,rays,O,1,1,training
103,incident,O,1,1,training
104,on,O,1,1,training
105,the,O,1,1,training
106,detector,B-HARDWARE,1,1,training
107,array,I-HARDWARE,1,1,training
108,during,O,1,1,training
109,an,O,1,1,training
110,exposure,O,1,1,training
111,period,O,1,1,training
112,",",O,1,1,training
113,a,O,1,1,training
114,high,B-HARDWARE,1,1,training
115,-,I-HARDWARE,1,1,training
116,clock,I-HARDWARE,1,1,training
117,logic,I-HARDWARE,1,1,training
118,device,I-HARDWARE,1,1,training
119,communicatively,O,1,1,training
120,coupled,O,1,1,training
121,to,O,1,1,training
122,the,O,1,1,training
123,detector,B-HARDWARE,1,1,training
124,array,I-HARDWARE,1,1,training
125,",",O,1,1,training
126,a,O,1,1,training
127,low,B-HARDWARE,1,1,training
128,-,I-HARDWARE,1,1,training
129,clock,I-HARDWARE,1,1,training
130,logic,I-HARDWARE,1,1,training
131,device,I-HARDWARE,1,1,training
132,communicatively,O,1,1,training
133,coupled,O,1,1,training
134,to,O,1,1,training
135,the,O,1,1,training
136,high,B-HARDWARE,1,1,training
137,-,I-HARDWARE,1,1,training
138,clock,I-HARDWARE,1,1,training
139,logic,I-HARDWARE,1,1,training
140,device,I-HARDWARE,1,1,training
141,",",O,1,1,training
142,an,O,1,1,training
143,accelerometer,B-HARDWARE,1,1,training
144,communicatively,O,1,1,training
145,coupled,O,1,1,training
146,to,O,1,1,training
147,the,O,1,1,training
148,low,B-HARDWARE,1,1,training
149,-,I-HARDWARE,1,1,training
150,clock,I-HARDWARE,1,1,training
151,logic,I-HARDWARE,1,1,training
152,device,I-HARDWARE,1,1,training
153,",",O,1,1,training
154,and,O,1,1,training
155,a,O,1,1,training
156,processor,B-HARDWARE,1,1,training
157,communicatively,O,1,1,training
158,coupled,O,1,1,training
159,to,O,1,1,training
160,the,O,1,1,training
161,high,B-HARDWARE,1,1,training
162,-,I-HARDWARE,1,1,training
163,clock,I-HARDWARE,1,1,training
164,logic,I-HARDWARE,1,1,training
165,device,I-HARDWARE,1,1,training
166,.,I-HARDWARE,1,1,training
167,The,O,1,1,training
168,low,B-HARDWARE,1,1,training
169,-,I-HARDWARE,1,1,training
170,clock,I-HARDWARE,1,1,training
171,logic,I-HARDWARE,1,1,training
172,device,I-HARDWARE,1,1,training
173,is,O,1,1,training
174,configured,O,1,1,training
175,to,O,1,1,training
176,receive,B-FUNCIONALIDADE,1,1,training
177,an,I-FUNCIONALIDADE,1,1,training
178,acceleration,I-FUNCIONALIDADE,1,1,training
179,signal,I-FUNCIONALIDADE,1,1,training
180,from,O,1,1,training
181,the,O,1,1,training
182,accelerometer,B-HARDWARE,1,1,training
183,",",O,1,1,training
184,determine,B-FUNCIONALIDADE,1,1,training
185,that,I-FUNCIONALIDADE,1,1,training
186,the,I-FUNCIONALIDADE,1,1,training
187,acceleration,I-FUNCIONALIDADE,1,1,training
188,signal,I-FUNCIONALIDADE,1,1,training
189,corresponds,I-FUNCIONALIDADE,1,1,training
190,to,I-FUNCIONALIDADE,1,1,training
191,a,I-FUNCIONALIDADE,1,1,training
192,wake,I-FUNCIONALIDADE,1,1,training
193,gesture,I-FUNCIONALIDADE,1,1,training
194,",",O,1,1,training
195,and,O,1,1,training
196,",",O,1,1,training
197,in,O,1,1,training
198,response,O,1,1,training
199,to,O,1,1,training
200,determining,B-FUNCIONALIDADE,1,1,training
201,that,I-FUNCIONALIDADE,1,1,training
202,the,I-FUNCIONALIDADE,1,1,training
203,acceleration,I-FUNCIONALIDADE,1,1,training
204,signal,I-FUNCIONALIDADE,1,1,training
205,corresponds,I-FUNCIONALIDADE,1,1,training
206,to,I-FUNCIONALIDADE,1,1,training
207,the,I-FUNCIONALIDADE,1,1,training
208,wake,I-FUNCIONALIDADE,1,1,training
209,gesture,I-FUNCIONALIDADE,1,1,training
210,",",O,1,1,training
211,send,B-FUNCIONALIDADE,1,1,training
212,a,I-FUNCIONALIDADE,1,1,training
213,first,I-FUNCIONALIDADE,1,1,training
214,power,I-FUNCIONALIDADE,1,1,training
215,state,I-FUNCIONALIDADE,1,1,training
216,change,I-FUNCIONALIDADE,1,1,training
217,signal,I-FUNCIONALIDADE,1,1,training
218,to,O,1,1,training
219,the,O,1,1,training
220,processor,B-HARDWARE,1,1,training
221,and,O,1,1,training
222,a,O,1,1,training
223,second,O,1,1,training
224,power,O,1,1,training
225,state,O,1,1,training
226,change,O,1,1,training
227,signal,O,1,1,training
228,to,O,1,1,training
229,the,O,1,1,training
230,high,B-HARDWARE,1,1,training
231,-,I-HARDWARE,1,1,training
232,clock,I-HARDWARE,1,1,training
233,logic,I-HARDWARE,1,1,training
234,device,I-HARDWARE,1,1,training
235,.,I-HARDWARE,1,1,training
236,Apparatuses,O,2,1,training
237,",",O,2,1,training
238,methods,O,2,1,training
239,and,O,2,1,training
240,storage,O,2,1,training
241,medium,O,2,1,training
242,associated,O,2,1,training
243,with,O,2,1,training
244,an,O,2,1,training
245,intelligent,B-HARDWARE,2,1,training
246,LED,I-HARDWARE,2,1,training
247,light,I-HARDWARE,2,1,training
248,apparatus,I-HARDWARE,2,1,training
249,are,O,2,1,training
250,disclosed,O,2,1,training
251,herein,O,2,1,training
252,.,O,2,1,training
253,In,O,2,1,training
254,embodiments,O,2,1,training
255,",",O,2,1,training
256,an,O,2,1,training
257,intelligent,B-HARDWARE,2,1,training
258,LED,I-HARDWARE,2,1,training
259,light,I-HARDWARE,2,1,training
260,apparatus,I-HARDWARE,2,1,training
261,may,O,2,1,training
262,include,O,2,1,training
263,a,O,2,1,training
264,communication,B-HARDWARE,2,1,training
265,interface,I-HARDWARE,2,1,training
266,",",O,2,1,training
267,a,O,2,1,training
268,processor,B-HARDWARE,2,1,training
269,",",O,2,1,training
270,a,O,2,1,training
271,body,O,2,1,training
272,that,O,2,1,training
273,encases,O,2,1,training
274,at,O,2,1,training
275,least,O,2,1,training
276,the,O,2,1,training
277,communication,B-HARDWARE,2,1,training
278,interface,I-HARDWARE,2,1,training
279,and,O,2,1,training
280,the,O,2,1,training
281,processor,B-HARDWARE,2,1,training
282,",",O,2,1,training
283,and,O,2,1,training
284,a,O,2,1,training
285,plurality,O,2,1,training
286,of,O,2,1,training
287,sensors,O,2,1,training
288,of,O,2,1,training
289,a,O,2,1,training
290,plurality,O,2,1,training
291,of,O,2,1,training
292,sensor,O,2,1,training
293,types,O,2,1,training
294,disposed,O,2,1,training
295,on,O,2,1,training
296,the,O,2,1,training
297,body,O,2,1,training
298,.,O,2,1,training
299,The,O,2,1,training
300,processor,B-HARDWARE,2,1,training
301,may,O,2,1,training
302,be,O,2,1,training
303,configured,O,2,1,training
304,to,O,2,1,training
305,receive,B-FUNCIONALIDADE,2,1,training
306,sensor,I-FUNCIONALIDADE,2,1,training
307,data,I-FUNCIONALIDADE,2,1,training
308,from,O,2,1,training
309,the,O,2,1,training
310,sensors,B-HARDWARE,2,1,training
311,",",O,2,1,training
312,and,O,2,1,training
313,transmit,B-FUNCIONALIDADE,2,1,training
314,the,I-FUNCIONALIDADE,2,1,training
315,sensor,I-FUNCIONALIDADE,2,1,training
316,data,I-FUNCIONALIDADE,2,1,training
317,or,O,2,1,training
318,results,O,2,1,training
319,from,O,2,1,training
320,processing,O,2,1,training
321,the,O,2,1,training
322,sensor,O,2,1,training
323,data,O,2,1,training
324,to,O,2,1,training
325,an,O,2,1,training
326,external,O,2,1,training
327,recipient,O,2,1,training
328,.,O,2,1,training
329,Further,O,2,1,training
330,",",O,2,1,training
331,for,O,2,1,training
332,some,O,2,1,training
333,embodiments,O,2,1,training
334,",",O,2,1,training
335,the,O,2,1,training
336,intelligent,B-HARDWARE,2,1,training
337,LED,I-HARDWARE,2,1,training
338,bulb,I-HARDWARE,2,1,training
339,apparatus,I-HARDWARE,2,1,training
340,may,O,2,1,training
341,further,O,2,1,training
342,comprise,B-FUNCIONALIDADE,2,1,training
343,LED,I-FUNCIONALIDADE,2,1,training
344,lights,I-FUNCIONALIDADE,2,1,training
345,",",O,2,1,training
346,and,O,2,1,training
347,the,O,2,1,training
348,body,O,2,1,training
349,further,O,2,1,training
350,encases,O,2,1,training
351,the,O,2,1,training
352,LED,B-HARDWARE,2,1,training
353,lights,I-HARDWARE,2,1,training
354,.,I-HARDWARE,2,1,training
355,In,O,2,1,training
356,other,O,2,1,training
357,embodiments,O,2,1,training
358,",",O,2,1,training
359,the,O,2,1,training
360,body,O,2,1,training
361,may,O,2,1,training
362,include,O,2,1,training
363,a,O,2,1,training
364,male,B-HARDWARE,2,1,training
365,connector,I-HARDWARE,2,1,training
366,to,O,2,1,training
367,mate,O,2,1,training
368,with,O,2,1,training
369,a,O,2,1,training
370,bulb,B-HARDWARE,2,1,training
371,receptor,I-HARDWARE,2,1,training
372,",",O,2,1,training
373,and,O,2,1,training
374,a,O,2,1,training
375,female,B-HARDWARE,2,1,training
376,connector,I-HARDWARE,2,1,training
377,to,O,2,1,training
378,mate,O,2,1,training
379,with,O,2,1,training
380,a,O,2,1,training
381,LED,B-HARDWARE,2,1,training
382,bulb,I-HARDWARE,2,1,training
383,.,I-HARDWARE,2,1,training
384,Other,O,2,1,training
385,embodiments,O,2,1,training
386,may,O,2,1,training
387,be,O,2,1,training
388,disclosed,O,2,1,training
389,or,O,2,1,training
390,claimed,O,2,1,training
391,.,O,2,1,training
392,A,O,3,1,training
393,steering,O,3,1,training
394,apparatus,O,3,1,training
395,of,O,3,1,training
396,a,O,3,1,training
397,small,O,3,1,training
398,mobility,O,3,1,training
399,is,O,3,1,training
400,provided,O,3,1,training
401,.,O,3,1,training
402,The,O,3,1,training
403,steering,O,3,1,training
404,apparatus,O,3,1,training
405,is,O,3,1,training
406,applied,O,3,1,training
407,to,O,3,1,training
408,one,O,3,1,training
409,of,O,3,1,training
410,a,O,3,1,training
411,front,O,3,1,training
412,wheel,O,3,1,training
413,portion,O,3,1,training
414,and,O,3,1,training
415,a,O,3,1,training
416,rear,O,3,1,training
417,wheel,O,3,1,training
418,portion,O,3,1,training
419,connected,O,3,1,training
420,to,O,3,1,training
421,a,O,3,1,training
422,body,O,3,1,training
423,thereof,O,3,1,training
424,.,O,3,1,training
425,The,O,3,1,training
426,apparatus,O,3,1,training
427,includes,O,3,1,training
428,a,O,3,1,training
429,main,O,3,1,training
430,link,O,3,1,training
431,member,O,3,1,training
432,that,O,3,1,training
433,is,O,3,1,training
434,connected,O,3,1,training
435,to,O,3,1,training
436,the,O,3,1,training
437,body,O,3,1,training
438,through,O,3,1,training
439,a,O,3,1,training
440,plurality,O,3,1,training
441,of,O,3,1,training
442,main,O,3,1,training
443,link,O,3,1,training
444,arms,O,3,1,training
445,to,O,3,1,training
446,move,O,3,1,training
447,left,O,3,1,training
448,and,O,3,1,training
449,right,O,3,1,training
450,casters,O,3,1,training
451,in,O,3,1,training
452,the,O,3,1,training
453,forward,O,3,1,training
454,and,O,3,1,training
455,backward,O,3,1,training
456,directions,O,3,1,training
457,due,O,3,1,training
458,to,O,3,1,training
459,link,O,3,1,training
460,movement,O,3,1,training
461,of,O,3,1,training
462,the,O,3,1,training
463,main,O,3,1,training
464,link,O,3,1,training
465,arms,O,3,1,training
466,when,O,3,1,training
467,the,O,3,1,training
468,body,O,3,1,training
469,center,O,3,1,training
470,of,O,3,1,training
471,gravity,O,3,1,training
472,is,O,3,1,training
473,moved,O,3,1,training
474,to,O,3,1,training
475,the,O,3,1,training
476,left,O,3,1,training
477,and,O,3,1,training
478,right,O,3,1,training
479,directions,O,3,1,training
480,.,O,3,1,training
481,A,O,3,1,training
482,sub,O,3,1,training
483,link,O,3,1,training
484,member,O,3,1,training
485,is,O,3,1,training
486,connected,O,3,1,training
487,to,O,3,1,training
488,the,O,3,1,training
489,caster,O,3,1,training
490,through,O,3,1,training
491,a,O,3,1,training
492,hub,O,3,1,training
493,shaft,O,3,1,training
494,when,O,3,1,training
495,connected,O,3,1,training
496,to,O,3,1,training
497,the,O,3,1,training
498,main,O,3,1,training
499,link,O,3,1,training
500,member,O,3,1,training
501,through,O,3,1,training
502,a,O,3,1,training
503,plurality,O,3,1,training
504,of,O,3,1,training
505,sub,O,3,1,training
506,link,O,3,1,training
507,arms,O,3,1,training
508,and,O,3,1,training
509,changes,O,3,1,training
510,a,O,3,1,training
511,steering,O,3,1,training
512,angle,O,3,1,training
513,of,O,3,1,training
514,the,O,3,1,training
515,left,O,3,1,training
516,and,O,3,1,training
517,right,O,3,1,training
518,casters,O,3,1,training
519,moved,O,3,1,training
520,by,O,3,1,training
521,the,O,3,1,training
522,main,O,3,1,training
523,link,O,3,1,training
524,member,O,3,1,training
525,through,O,3,1,training
526,link,O,3,1,training
527,movement,O,3,1,training
528,of,O,3,1,training
529,the,O,3,1,training
530,respective,O,3,1,training
531,sub,O,3,1,training
532,link,O,3,1,training
533,arm,O,3,1,training
534,.,O,3,1,training
535,A,O,4,1,training
536,terminal,B-HARDWARE,4,1,training
537,device,I-HARDWARE,4,1,training
538,is,O,4,1,training
539,provided,O,4,1,training
540,to,O,4,1,training
541,output,B-FUNCIONALIDADE,4,1,training
542,information,I-FUNCIONALIDADE,4,1,training
543,about,O,4,1,training
544,using,O,4,1,training
545,a,O,4,1,training
546,transport,B-HARDWARE,4,1,training
547,device,I-HARDWARE,4,1,training
548,for,O,4,1,training
549,a,O,4,1,training
550,travel,O,4,1,training
551,to,O,4,1,training
552,a,O,4,1,training
553,destination,O,4,1,training
554,",",O,4,1,training
555,a,O,4,1,training
556,vehicle,B-HARDWARE,4,1,training
557,communicating,O,4,1,training
558,with,O,4,1,training
559,the,O,4,1,training
560,terminal,B-HARDWARE,4,1,training
561,device,I-HARDWARE,4,1,training
562,",",O,4,1,training
563,a,O,4,1,training
564,personal,B-HARDWARE,4,1,training
565,mobility,I-HARDWARE,4,1,training
566,device,I-HARDWARE,4,1,training
567,communicating,O,4,1,training
568,with,O,4,1,training
569,the,O,4,1,training
570,terminal,B-HARDWARE,4,1,training
571,device,I-HARDWARE,4,1,training
572,",",O,4,1,training
573,a,O,4,1,training
574,method,O,4,1,training
575,of,O,4,1,training
576,controlling,O,4,1,training
577,the,O,4,1,training
578,terminal,B-HARDWARE,4,1,training
579,device,I-HARDWARE,4,1,training
580,",",O,4,1,training
581,and,O,4,1,training
582,a,O,4,1,training
583,method,O,4,1,training
584,of,O,4,1,training
585,controlling,O,4,1,training
586,the,O,4,1,training
587,vehicle,B-HARDWARE,4,1,training
588,.,I-HARDWARE,4,1,training
589,In,O,5,1,training
590,one,O,5,1,training
591,example,O,5,1,training
592,",",O,5,1,training
593,the,O,5,1,training
594,present,O,5,1,training
595,disclosure,O,5,1,training
596,describes,O,5,1,training
597,a,O,5,1,training
598,device,O,5,1,training
599,",",O,5,1,training
600,computer,O,5,1,training
601,-,O,5,1,training
602,readable,O,5,1,training
603,medium,O,5,1,training
604,",",O,5,1,training
605,and,O,5,1,training
606,method,O,5,1,training
607,for,O,5,1,training
608,providing,B-FUNCIONALIDADE,5,1,training
609,smart,I-FUNCIONALIDADE,5,1,training
610,mobility,I-FUNCIONALIDADE,5,1,training
611,assistance,I-FUNCIONALIDADE,5,1,training
612,.,I-FUNCIONALIDADE,5,1,training
613,For,O,5,1,training
614,instance,O,5,1,training
615,",",O,5,1,training
616,in,O,5,1,training
617,one,O,5,1,training
618,example,O,5,1,training
619,",",O,5,1,training
620,a,O,5,1,training
621,device,O,5,1,training
622,includes,O,5,1,training
623,a,O,5,1,training
624,set,B-HARDWARE,5,1,training
625,of,I-HARDWARE,5,1,training
626,sensors,I-HARDWARE,5,1,training
627,",",O,5,1,training
628,a,O,5,1,training
629,processor,B-HARDWARE,5,1,training
630,",",O,5,1,training
631,a,O,5,1,training
632,first,O,5,1,training
633,set,B-HARDWARE,5,1,training
634,of,I-HARDWARE,5,1,training
635,feedback,I-HARDWARE,5,1,training
636,mechanisms,I-HARDWARE,5,1,training
637,",",O,5,1,training
638,and,O,5,1,training
639,a,O,5,1,training
640,communication,B-HARDWARE,5,1,training
641,device,I-HARDWARE,5,1,training
642,.,I-HARDWARE,5,1,training
643,The,O,5,1,training
644,set,B-HARDWARE,5,1,training
645,of,I-HARDWARE,5,1,training
646,sensors,I-HARDWARE,5,1,training
647,is,O,5,1,training
648,to,O,5,1,training
649,monitor,B-FUNCIONALIDADE,5,1,training
650,an,I-FUNCIONALIDADE,5,1,training
651,area,I-FUNCIONALIDADE,5,1,training
652,surrounding,I-FUNCIONALIDADE,5,1,training
653,a,O,5,1,training
654,user,B-PESSOA,5,1,training
655,of,I-PESSOA,5,1,training
656,a,I-PESSOA,5,1,training
657,mobility,I-PESSOA,5,1,training
658,assistance,I-PESSOA,5,1,training
659,device,I-PESSOA,5,1,training
660,.,I-PESSOA,5,1,training
661,The,O,5,1,training
662,processor,B-HARDWARE,5,1,training
663,is,O,5,1,training
664,to,O,5,1,training
665,detect,B-FUNCIONALIDADE,5,1,training
666,a,I-FUNCIONALIDADE,5,1,training
667,hazard,I-FUNCIONALIDADE,5,1,training
668,in,O,5,1,training
669,the,O,5,1,training
670,surrounding,O,5,1,training
671,area,O,5,1,training
672,",",O,5,1,training
673,based,O,5,1,training
674,on,O,5,1,training
675,the,O,5,1,training
676,monitoring,O,5,1,training
677,.,O,5,1,training
678,The,O,5,1,training
679,first,O,5,1,training
680,set,B-HARDWARE,5,1,training
681,of,I-HARDWARE,5,1,training
682,feedback,I-HARDWARE,5,1,training
683,mechanisms,I-HARDWARE,5,1,training
684,is,O,5,1,training
685,to,O,5,1,training
686,provide,B-FUNCIONALIDADE,5,1,training
687,the,I-FUNCIONALIDADE,5,1,training
688,user,I-FUNCIONALIDADE,5,1,training
689,with,O,5,1,training
690,an,O,5,1,training
691,alert,O,5,1,training
692,that,O,5,1,training
693,notifies,O,5,1,training
694,the,O,5,1,training
695,user,B-PESSOA,5,1,training
696,of,O,5,1,training
697,the,O,5,1,training
698,hazard,O,5,1,training
699,.,O,5,1,training
700,The,O,5,1,training
701,communication,B-HARDWARE,5,1,training
702,device,I-HARDWARE,5,1,training
703,is,O,5,1,training
704,to,O,5,1,training
705,send,B-FUNCIONALIDADE,5,1,training
706,a,I-FUNCIONALIDADE,5,1,training
707,notification,I-FUNCIONALIDADE,5,1,training
708,to,O,5,1,training
709,a,O,5,1,training
710,third,O,5,1,training
711,party,O,5,1,training
712,informing,O,5,1,training
713,the,O,5,1,training
714,third,O,5,1,training
715,party,O,5,1,training
716,of,O,5,1,training
717,the,O,5,1,training
718,hazard,O,5,1,training
719,.,O,5,1,training
720,The,O,6,1,training
721,present,O,6,1,training
722,disclosure,O,6,1,training
723,relates,O,6,1,training
724,to,O,6,1,training
725,a,O,6,1,training
726,sensor,B-HARDWARE,6,1,training
727,network,I-HARDWARE,6,1,training
728,",",O,6,1,training
729,machine,B-COMUNICAÇÃO,6,1,training
730,type,I-COMUNICAÇÃO,6,1,training
731,communication,I-COMUNICAÇÃO,6,1,training
732,(,O,6,1,training
733,MTC,B-COMUNICAÇÃO,6,1,training
734,),I-COMUNICAÇÃO,6,1,training
735,",",O,6,1,training
736,machine,B-COMUNICAÇÃO,6,1,training
737,-,I-COMUNICAÇÃO,6,1,training
738,to,I-COMUNICAÇÃO,6,1,training
739,-,I-COMUNICAÇÃO,6,1,training
740,machine,I-COMUNICAÇÃO,6,1,training
741,(,I-COMUNICAÇÃO,6,1,training
742,M2M,I-COMUNICAÇÃO,6,1,training
743,),I-COMUNICAÇÃO,6,1,training
744,communication,I-COMUNICAÇÃO,6,1,training
745,",",O,6,1,training
746,and,O,6,1,training
747,technology,B-COMUNICAÇÃO,6,1,training
748,for,I-COMUNICAÇÃO,6,1,training
749,internet,I-COMUNICAÇÃO,6,1,training
750,of,I-COMUNICAÇÃO,6,1,training
751,things,I-COMUNICAÇÃO,6,1,training
752,(,O,6,1,training
753,IoT,B-COMUNICAÇÃO,6,1,training
754,),I-COMUNICAÇÃO,6,1,training
755,.,O,6,1,training
756,The,O,6,1,training
757,present,O,6,1,training
758,disclosure,O,6,1,training
759,may,O,6,1,training
760,be,O,6,1,training
761,applied,O,6,1,training
762,to,O,6,1,training
763,intelligent,B-SOFTWARE,6,1,training
764,services,I-SOFTWARE,6,1,training
765,based,I-SOFTWARE,6,1,training
766,on,O,6,1,training
767,the,O,6,1,training
768,above,O,6,1,training
769,technologies,O,6,1,training
770,",",O,6,1,training
771,such,O,6,1,training
772,as,O,6,1,training
773,smart,B-SOFTWARE,6,1,training
774,home,I-SOFTWARE,6,1,training
775,",",O,6,1,training
776,smart,B-SOFTWARE,6,1,training
777,building,I-SOFTWARE,6,1,training
778,",",O,6,1,training
779,smart,B-SOFTWARE,6,1,training
780,city,I-SOFTWARE,6,1,training
781,",",O,6,1,training
782,smart,B-SOFTWARE,6,1,training
783,car,I-SOFTWARE,6,1,training
784,",",O,6,1,training
785,connected,B-SOFTWARE,6,1,training
786,car,I-SOFTWARE,6,1,training
787,",",O,6,1,training
788,health,B-SOFTWARE,6,1,training
789,care,I-SOFTWARE,6,1,training
790,",",O,6,1,training
791,digital,B-SOFTWARE,6,1,training
792,education,I-SOFTWARE,6,1,training
793,",",O,6,1,training
794,smart,B-SOFTWARE,6,1,training
795,retail,I-SOFTWARE,6,1,training
796,",",O,6,1,training
797,security,B-SOFTWARE,6,1,training
798,and,O,6,1,training
799,safety,B-SOFTWARE,6,1,training
800,services,I-SOFTWARE,6,1,training
801,.,I-SOFTWARE,6,1,training
802,A,O,6,1,training
803,transmitting,B-HARDWARE,6,1,training
804,apparatus,I-HARDWARE,6,1,training
805,according,O,6,1,training
806,to,O,6,1,training
807,an,O,6,1,training
808,embodiment,O,6,1,training
809,of,O,6,1,training
810,the,O,6,1,training
811,present,O,6,1,training
812,disclosure,O,6,1,training
813,is,O,6,1,training
814,provided,O,6,1,training
815,.,O,6,1,training
816,The,O,6,1,training
817,transmitting,B-HARDWARE,6,1,training
818,apparatus,I-HARDWARE,6,1,training
819,includes,O,6,1,training
820,a,O,6,1,training
821,transmitter,B-HARDWARE,6,1,training
822,",",O,6,1,training
823,and,O,6,1,training
824,a,O,6,1,training
825,processor,B-HARDWARE,6,1,training
826,configured,O,6,1,training
827,to,O,6,1,training
828,acquire,B-FUNCIONALIDADE,6,1,training
829,at,I-FUNCIONALIDADE,6,1,training
830,least,I-FUNCIONALIDADE,6,1,training
831,one,I-FUNCIONALIDADE,6,1,training
832,of,I-FUNCIONALIDADE,6,1,training
833,information,I-FUNCIONALIDADE,6,1,training
834,related,I-FUNCIONALIDADE,6,1,training
835,to,I-FUNCIONALIDADE,6,1,training
836,air,I-FUNCIONALIDADE,6,1,training
837,pollution,I-FUNCIONALIDADE,6,1,training
838,and,O,6,1,training
839,information,O,6,1,training
840,related,O,6,1,training
841,to,O,6,1,training
842,a,O,6,1,training
843,noise,O,6,1,training
844,through,O,6,1,training
845,a,O,6,1,training
846,sensor,B-HARDWARE,6,1,training
847,included,O,6,1,training
848,in,O,6,1,training
849,the,O,6,1,training
850,transmitting,B-HARDWARE,6,1,training
851,apparatus,I-HARDWARE,6,1,training
852,or,O,6,1,training
853,an,O,6,1,training
854,external,B-HARDWARE,6,1,training
855,sensor,I-HARDWARE,6,1,training
856,",",O,6,1,training
857,and,O,6,1,training
858,to,O,6,1,training
859,control,B-FUNCIONALIDADE,6,1,training
860,the,I-FUNCIONALIDADE,6,1,training
861,transmitter,I-FUNCIONALIDADE,6,1,training
862,to,O,6,1,training
863,transmit,O,6,1,training
864,the,O,6,1,training
865,at,O,6,1,training
866,least,O,6,1,training
867,one,O,6,1,training
868,of,O,6,1,training
869,the,O,6,1,training
870,information,O,6,1,training
871,related,O,6,1,training
872,to,O,6,1,training
873,the,O,6,1,training
874,air,O,6,1,training
875,pollution,O,6,1,training
876,and,O,6,1,training
877,the,O,6,1,training
878,information,O,6,1,training
879,related,O,6,1,training
880,to,O,6,1,training
881,the,O,6,1,training
882,noise,O,6,1,training
883,.,O,6,1,training
884,A,O,7,1,training
885,system,O,7,1,training
886,",",O,7,1,training
887,method,O,7,1,training
888,",",O,7,1,training
889,and,O,7,1,training
890,computer,B-SOFTWARE,7,1,training
891,program,I-SOFTWARE,7,1,training
892,product,I-SOFTWARE,7,1,training
893,are,O,7,1,training
894,provided,O,7,1,training
895,for,O,7,1,training
896,mitigation,O,7,1,training
897,of,O,7,1,training
898,user,O,7,1,training
899,-,O,7,1,training
900,specific,O,7,1,training
901,ping,O,7,1,training
902,-,O,7,1,training
903,pong,O,7,1,training
904,handover,O,7,1,training
905,.,O,7,1,training
906,In,O,7,1,training
907,operation,O,7,1,training
908,",",O,7,1,training
909,user,B-HARDWARE,7,1,training
