item,token,tag,sentence,patent,partition,trainingTest
345,(,I-HARDWARE,2,5,1,training
346,UE,I-HARDWARE,2,5,1,training
347,),I-HARDWARE,2,5,1,training
348,monitors,I-HARDWARE,2,5,1,training
349,for,O,2,5,1,training
350,a,O,2,5,1,training
351,ping,O,2,5,1,training
352,-,O,2,5,1,training
353,pong,O,2,5,1,training
354,handover,O,2,5,1,training
355,scenario,O,2,5,1,training
356,between,O,2,5,1,training
357,the,O,2,5,1,training
358,UE,O,2,5,1,training
359,and,O,2,5,1,training
360,a,O,2,5,1,training
361,plurality,O,2,5,1,training
362,of,O,2,5,1,training
363,nodes,O,2,5,1,training
364,in,O,2,5,1,training
365,a,O,2,5,1,training
366,wireless,B-COMUNICA플O,2,5,1,training
367,communication,I-COMUNICA플O,2,5,1,training
368,network,I-COMUNICA플O,2,5,1,training
369,.,O,2,5,1,training
370,The,O,3,5,1,training
371,UE,O,3,5,1,training
372,determines,B-FUNCIONALIDADE,3,5,1,training
373,whether,I-FUNCIONALIDADE,3,5,1,training
374,a,I-FUNCIONALIDADE,3,5,1,training
375,state,I-FUNCIONALIDADE,3,5,1,training
376,of,I-FUNCIONALIDADE,3,5,1,training
377,the,I-FUNCIONALIDADE,3,5,1,training
378,UE,I-FUNCIONALIDADE,3,5,1,training
379,is,I-FUNCIONALIDADE,3,5,1,training
380,static,I-FUNCIONALIDADE,3,5,1,training
381,",",O,3,5,1,training
382,if,O,3,5,1,training
383,it,O,3,5,1,training
384,is,O,3,5,1,training
385,determined,O,3,5,1,training
386,that,O,3,5,1,training
387,the,O,3,5,1,training
388,UE,O,3,5,1,training
389,is,O,3,5,1,training
390,experiencing,O,3,5,1,training
391,a,O,3,5,1,training
392,ping,O,3,5,1,training
393,-,O,3,5,1,training
394,pong,O,3,5,1,training
395,handover,O,3,5,1,training
396,scenario,O,3,5,1,training
397,.,O,3,5,1,training
398,The,O,4,5,1,training
399,UE,O,4,5,1,training
400,receives,B-FUNCIONALIDADE,4,5,1,training
401,a,I-FUNCIONALIDADE,4,5,1,training
402,deferred,I-FUNCIONALIDADE,4,5,1,training
403,measurement,I-FUNCIONALIDADE,4,5,1,training
404,time,I-FUNCIONALIDADE,4,5,1,training
405,indicator,I-FUNCIONALIDADE,4,5,1,training
406,from,O,4,5,1,training
407,a,O,4,5,1,training
408,best,O,4,5,1,training
409,serving,O,4,5,1,training
410,node,O,4,5,1,training
411,of,O,4,5,1,training
412,the,O,4,5,1,training
413,plurality,O,4,5,1,training
414,of,O,4,5,1,training
415,nodes,O,4,5,1,training
416,",",O,4,5,1,training
417,if,O,4,5,1,training
418,it,O,4,5,1,training
419,is,O,4,5,1,training
420,determined,O,4,5,1,training
421,that,O,4,5,1,training
422,the,O,4,5,1,training
423,state,O,4,5,1,training
424,of,O,4,5,1,training
425,the,O,4,5,1,training
426,UE,O,4,5,1,training
427,is,O,4,5,1,training
428,static,O,4,5,1,training
429,.,O,4,5,1,training
430,The,O,5,5,1,training
431,UE,O,5,5,1,training
432,defers,O,5,5,1,training
433,sending,O,5,5,1,training
434,a,O,5,5,1,training
435,measurement,O,5,5,1,training
436,report,O,5,5,1,training
437,to,O,5,5,1,training
438,the,O,5,5,1,training
439,plurality,O,5,5,1,training
440,of,O,5,5,1,training
441,nodes,O,5,5,1,training
442,for,O,5,5,1,training
443,a,O,5,5,1,training
444,time,O,5,5,1,training
445,-,O,5,5,1,training
446,period,O,5,5,1,training
447,associated,O,5,5,1,training
448,with,O,5,5,1,training
449,the,O,5,5,1,training
450,deferred,O,5,5,1,training
451,measurement,O,5,5,1,training
452,time,O,5,5,1,training
453,indicator,O,5,5,1,training
454,.,O,5,5,1,training
455,One,O,1,6,1,training
456,or,O,1,6,1,training
457,more,O,1,6,1,training
458,protocols,B-SOFTWARE,1,6,1,training
459,between,I-SOFTWARE,1,6,1,training
460,a,I-SOFTWARE,1,6,1,training
461,control,I-SOFTWARE,1,6,1,training
462,plane,I-SOFTWARE,1,6,1,training
463,entity,I-SOFTWARE,1,6,1,training
464,(,O,1,6,1,training
465,e,O,1,6,1,training
466,.,O,1,6,1,training
467,g,O,1,6,1,training
468,.,O,1,6,1,training
469,",",O,1,6,1,training
470,a,O,1,6,1,training
471,mobility,B-SOFTWARE,1,6,1,training
472,management,I-SOFTWARE,1,6,1,training
473,entity,I-SOFTWARE,1,6,1,training
474,(,O,1,6,1,training
475,MME,O,1,6,1,training
476,),O,1,6,1,training
477,),O,1,6,1,training
478,and,O,1,6,1,training
479,its,O,1,6,1,training
480,peer,O,1,6,1,training
481,nodes,O,1,6,1,training
482,(,O,1,6,1,training
483,e,O,1,6,1,training
484,.,O,1,6,1,training
485,g,O,1,6,1,training
486,.,O,1,6,1,training
487,",",O,1,6,1,training
488,mobile,B-SOFTWARE,1,6,1,training
489,switching,I-SOFTWARE,1,6,1,training
490,center,I-SOFTWARE,1,6,1,training
491,(,O,1,6,1,training
492,MSC,O,1,6,1,training
493,),O,1,6,1,training
494,and,O,1,6,1,training
495,/,O,1,6,1,training
496,or,O,1,6,1,training
497,short,B-SOFTWARE,1,6,1,training
498,message,I-SOFTWARE,1,6,1,training
499,service,I-SOFTWARE,1,6,1,training
500,center,I-SOFTWARE,1,6,1,training
501,(,O,1,6,1,training
502,SMSC,O,1,6,1,training
503,),O,1,6,1,training
504,),O,1,6,1,training
505,are,O,1,6,1,training
506,enhanced,O,1,6,1,training
507,to,O,1,6,1,training
508,improve,B-FUNCIONALIDADE,1,6,1,training
509,short,I-FUNCIONALIDADE,1,6,1,training
510,messaging,I-FUNCIONALIDADE,1,6,1,training
511,services,I-FUNCIONALIDADE,1,6,1,training
512,for,O,1,6,1,training
513,Internet,B-HARDWARE,1,6,1,training
514,of,I-HARDWARE,1,6,1,training
515,things,I-HARDWARE,1,6,1,training
516,(,I-HARDWARE,1,6,1,training
517,IoT,I-HARDWARE,1,6,1,training
518,),I-HARDWARE,1,6,1,training
519,devices,I-HARDWARE,1,6,1,training
520,.,O,1,6,1,training
521,Oftentimes,O,2,6,1,training
522,",",O,2,6,1,training
523,IoT,B-HARDWARE,2,6,1,training
524,devices,I-HARDWARE,2,6,1,training
525,enter,O,2,6,1,training
526,an,O,2,6,1,training
527,extended,O,2,6,1,training
528,sleep,O,2,6,1,training
529,mode,O,2,6,1,training
530,during,O,2,6,1,training
531,which,O,2,6,1,training
532,they,O,2,6,1,training
533,cannot,O,2,6,1,training
534,be,O,2,6,1,training
535,reached,O,2,6,1,training
536,by,O,2,6,1,training
537,the,O,2,6,1,training
538,control,O,2,6,1,training
539,plane,O,2,6,1,training
540,entity,O,2,6,1,training
541,.,O,2,6,1,training
542,In,O,3,6,1,training
543,one,O,3,6,1,training
544,aspect,O,3,6,1,training
545,",",O,3,6,1,training
546,the,O,3,6,1,training
547,control,O,3,6,1,training
548,plane,O,3,6,1,training
549,entity,O,3,6,1,training
550,can,O,3,6,1,training
551,determine,B-FUNCIONALIDADE,3,6,1,training
552,a,I-FUNCIONALIDADE,3,6,1,training
553,wait,I-FUNCIONALIDADE,3,6,1,training
554,period,I-FUNCIONALIDADE,3,6,1,training
555,based,O,3,6,1,training
556,on,O,3,6,1,training
557,information,O,3,6,1,training
558,",",O,3,6,1,training
559,such,O,3,6,1,training
560,as,O,3,6,1,training
561,",",O,3,6,1,training
562,but,O,3,6,1,training
563,not,O,3,6,1,training
564,limited,O,3,6,1,training
565,to,O,3,6,1,training
566,",",O,3,6,1,training
567,device,O,3,6,1,training
568,context,O,3,6,1,training
569,data,O,3,6,1,training
570,",",O,3,6,1,training
571,mapping,O,3,6,1,training
572,tables,O,3,6,1,training
573,",",O,3,6,1,training
574,policy,O,3,6,1,training
575,data,O,3,6,1,training
576,",",O,3,6,1,training
577,commercial,O,3,6,1,training
578,traffic,O,3,6,1,training
579,data,O,3,6,1,training
580,",",O,3,6,1,training
581,latency,O,3,6,1,training
582,data,O,3,6,1,training
583,",",O,3,6,1,training
584,device,O,3,6,1,training
585,delay,O,3,6,1,training
586,tolerance,O,3,6,1,training
587,",",O,3,6,1,training
588,sleep,O,3,6,1,training
589,mode,O,3,6,1,training
590,timer,O,3,6,1,training
591,values,O,3,6,1,training
592,",",O,3,6,1,training
593,etc,O,3,6,1,training
594,.,O,3,6,1,training
595,The,O,4,6,1,training
596,wait,O,4,6,1,training
597,period,O,4,6,1,training
598,can,O,4,6,1,training
599,be,O,4,6,1,training
600,provided,O,4,6,1,training
601,to,O,4,6,1,training
602,the,O,4,6,1,training
603,peer,O,4,6,1,training
604,nodes,O,4,6,1,training
605,",",O,4,6,1,training
606,which,O,4,6,1,training
607,can,O,4,6,1,training
608,utilize,O,4,6,1,training
609,the,O,4,6,1,training
610,wait,O,4,6,1,training
611,period,O,4,6,1,training
612,to,O,4,6,1,training
613,control,B-FUNCIONALIDADE,4,6,1,training
614,one,I-FUNCIONALIDADE,4,6,1,training
615,or,I-FUNCIONALIDADE,4,6,1,training
616,more,I-FUNCIONALIDADE,4,6,1,training
617,message,I-FUNCIONALIDADE,4,6,1,training
618,retry,I-FUNCIONALIDADE,4,6,1,training
619,mechanisms,I-FUNCIONALIDADE,4,6,1,training
620,based,O,4,6,1,training
621,on,O,4,6,1,training
622,IoT,B-HARDWARE,4,6,1,training
623,device,I-HARDWARE,4,6,1,training
624,behaviors,O,4,6,1,training
625,resulting,O,4,6,1,training
626,in,O,4,6,1,training
627,an,O,4,6,1,training
628,improvement,O,4,6,1,training
629,of,O,4,6,1,training
630,overall,O,4,6,1,training
631,IoT,B-COMUNICA플O,4,6,1,training
632,service,I-COMUNICA플O,4,6,1,training
633,behaviors,O,4,6,1,training
634,and,O,4,6,1,training
635,a,O,4,6,1,training
636,delivery,O,4,6,1,training
637,of,O,4,6,1,training
638,superior,O,4,6,1,training
639,IoT,O,4,6,1,training
640,customer,O,4,6,1,training
641,experience,O,4,6,1,training
642,.,O,4,6,1,training
643,An,O,1,7,1,training
644,interactive,O,1,7,1,training
645,",",O,1,7,1,training
646,electronic,B-COMUNICA플O,1,7,1,training
647,network,I-COMUNICA플O,1,7,1,training
648,that,O,1,7,1,training
649,enables,B-FUNCIONALIDADE,1,7,1,training
650,multi,I-FUNCIONALIDADE,1,7,1,training
651,-,I-FUNCIONALIDADE,1,7,1,training
652,level,I-FUNCIONALIDADE,1,7,1,training
653,control,I-FUNCIONALIDADE,1,7,1,training
654,",",O,1,7,1,training
655,variable,O,1,7,1,training
656,access,O,1,7,1,training
657,",",O,1,7,1,training
658,multi,O,1,7,1,training
659,-,O,1,7,1,training
660,user,O,1,7,1,training
661,communications,O,1,7,1,training
662,of,O,1,7,1,training
663,real,O,1,7,1,training
664,-,O,1,7,1,training
665,time,O,1,7,1,training
666,contextually,O,1,7,1,training
667,relevant,O,1,7,1,training
668,data,O,1,7,1,training
669,or,O,1,7,1,training
670,information,O,1,7,1,training
671,among,O,1,7,1,training
672,network,B-HARDWARE,1,7,1,training
673,-,I-HARDWARE,1,7,1,training
674,connected,I-HARDWARE,1,7,1,training
675,devices,I-HARDWARE,1,7,1,training
676,",",O,1,7,1,training
677,and,O,1,7,1,training
678,actions,O,1,7,1,training
679,based,O,1,7,1,training
680,on,O,1,7,1,training
681,those,O,1,7,1,training
682,communications,O,1,7,1,training
683,",",O,1,7,1,training
684,as,O,1,7,1,training
685,the,O,1,7,1,training
686,network,B-HARDWARE,1,7,1,training
687,-,I-HARDWARE,1,7,1,training
688,connected,I-HARDWARE,1,7,1,training
689,devices,I-HARDWARE,1,7,1,training
690,move,O,1,7,1,training
691,from,O,1,7,1,training
692,one,O,1,7,1,training
693,location,O,1,7,1,training
694,to,O,1,7,1,training
695,another,O,1,7,1,training
696,and,O,1,7,1,training
697,/,O,1,7,1,training
698,or,O,1,7,1,training
699,the,O,1,7,1,training
700,data,O,1,7,1,training
701,/,O,1,7,1,training
702,information,O,1,7,1,training
703,flow,O,1,7,1,training
704,among,O,1,7,1,training
705,those,O,1,7,1,training
706,devices,O,1,7,1,training
707,change,O,1,7,1,training
708,over,O,1,7,1,training
709,time,O,1,7,1,training
710,.,O,1,7,1,training
711,Embodiments,O,1,8,1,training
712,of,O,1,8,1,training
713,a,O,1,8,1,training
714,smart,B-HARDWARE,1,8,1,training
715,mobility,I-HARDWARE,1,8,1,training
716,aid,I-HARDWARE,1,8,1,training
717,device,I-HARDWARE,1,8,1,training
718,may,O,1,8,1,training
719,have,O,1,8,1,training
720,sensors,B-HARDWARE,1,8,1,training
721,to,O,1,8,1,training
722,collect,O,1,8,1,training
723,",",O,1,8,1,training
724,monitor,O,1,8,1,training
725,",",O,1,8,1,training
726,analyze,O,1,8,1,training
727,and,O,1,8,1,training
728,represent,B-FUNCIONALIDADE,1,8,1,training
729,data,I-FUNCIONALIDADE,1,8,1,training
730,including,O,1,8,1,training
731,but,O,1,8,1,training
732,not,O,1,8,1,training
733,limited,O,1,8,1,training
734,to,O,1,8,1,training
735,activity,O,1,8,1,training
736,tracking,O,1,8,1,training
737,",",O,1,8,1,training
738,biometrics,O,1,8,1,training
739,and,O,1,8,1,training
740,safety,O,1,8,1,training
741,and,O,1,8,1,training
742,emergency,O,1,8,1,training
743,features,O,1,8,1,training
744,.,O,1,8,1,training
745,The,O,2,8,1,training
746,activity,O,2,8,1,training
747,tracking,O,2,8,1,training
748,include,O,2,8,1,training
749,number,O,2,8,1,training
750,of,O,2,8,1,training
751,steps,O,2,8,1,training
752,",",O,2,8,1,training
753,miles,O,2,8,1,training
754,",",O,2,8,1,training
755,and,O,2,8,1,training
756,activity,O,2,8,1,training
757,speed,O,2,8,1,training
758,",",O,2,8,1,training
759,user,O,2,8,1,training
760,pressure,O,2,8,1,training
761,on,O,2,8,1,training
762,a,O,2,8,1,training
763,device,O,2,8,1,training
764,",",O,2,8,1,training
765,activity,O,2,8,1,training
766,types,O,2,8,1,training
767,and,O,2,8,1,training
768,analysis,O,2,8,1,training
769,.,O,2,8,1,training
770,The,O,3,8,1,training
771,user,O,3,8,1,training
772,biometric,O,3,8,1,training
773,data,O,3,8,1,training
774,includes,O,3,8,1,training
775,but,O,3,8,1,training
776,is,O,3,8,1,training
777,not,O,3,8,1,training
778,limited,O,3,8,1,training
779,to,O,3,8,1,training
780,blood,O,3,8,1,training
781,work,O,3,8,1,training
782,",",O,3,8,1,training
783,blood,O,3,8,1,training
784,pressure,O,3,8,1,training
785,",",O,3,8,1,training
786,blood,O,3,8,1,training
787,sugar,O,3,8,1,training
788,",",O,3,8,1,training
789,heart,O,3,8,1,training
790,rate,O,3,8,1,training
791,",",O,3,8,1,training
792,oxygen,O,3,8,1,training
793,level,O,3,8,1,training
794,/,O,3,8,1,training
795,rate,O,3,8,1,training
796,",",O,3,8,1,training
797,ECG,O,3,8,1,training
798,",",O,3,8,1,training
799,EMG,O,3,8,1,training
800,",",O,3,8,1,training
801,muscle,O,3,8,1,training
802,strain,O,3,8,1,training
803,",",O,3,8,1,training
804,humidity,O,3,8,1,training
805,",",O,3,8,1,training
806,UV,O,3,8,1,training
807,",",O,3,8,1,training
808,body,O,3,8,1,training
809,temperature,O,3,8,1,training
810,.,O,3,8,1,training
811,Additional,O,4,8,1,training
812,features,O,4,8,1,training
813,include,O,4,8,1,training
814,an,O,4,8,1,training
815,emergency,O,4,8,1,training
816,button,O,4,8,1,training
817,",",O,4,8,1,training
818,fall,O,4,8,1,training
819,detection,O,4,8,1,training
820,",",O,4,8,1,training
821,warnings,O,4,8,1,training
822,",",O,4,8,1,training
823,and,O,4,8,1,training
824,user,O,4,8,1,training
825,pattern,O,4,8,1,training
826,analysis,O,4,8,1,training
827,changes,O,4,8,1,training
828,.,O,4,8,1,training
829,The,O,5,8,1,training
830,mobility,B-HARDWARE,5,8,1,training
831,aid,I-HARDWARE,5,8,1,training
832,device,I-HARDWARE,5,8,1,training
833,is,O,5,8,1,training
834,connected,O,5,8,1,training
835,to,O,5,8,1,training
836,other,O,5,8,1,training
837,smart,B-HARDWARE,5,8,1,training
838,electronic,I-HARDWARE,5,8,1,training
839,devices,I-HARDWARE,5,8,1,training
840,and,O,5,8,1,training
841,/,O,5,8,1,training
842,or,O,5,8,1,training
843,the,O,5,8,1,training
844,Internet,B-COMUNICA플O,5,8,1,training
845,using,O,5,8,1,training
846,but,O,5,8,1,training
847,not,O,5,8,1,training
848,limited,O,5,8,1,training
849,to,O,5,8,1,training
850,Bluetooth,B-COMUNICA플O,5,8,1,training
851,",",O,5,8,1,training
852,Wi,B-COMUNICA플O,5,8,1,training
853,-,I-COMUNICA플O,5,8,1,training
854,Fi,I-COMUNICA플O,5,8,1,training
855,",",O,5,8,1,training
856,and,O,5,8,1,training
